,Channel,B,T,Isotope,G,sigma
222,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579610,0.001,H,2.76591744039733E-15,0.152338313650509
223,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579610,0.001,T,5.92405745405157E-13,32.6279052779429
224,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,H,3.14911309762567E-15,0.173443564070413
225,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,T,6.72139095314626E-13,37.0193754966526
226,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622070,0.001,H,3.49736153272905E-15,0.192624027868875
227,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622070,0.001,T,6.1026125198301E-13,33.6113322312272
228,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",2.154434690031880,0.001,H,3.72609950002141E-15,0.205222218869167
229,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",2.154434690031880,0.001,T,4.98787160459056E-13,27.4716785776307
230,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",3.1622776601683800,0.001,H,3.72227812204784E-15,0.205011749001986
231,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",3.1622776601683800,0.001,T,4.32831708631597E-13,23.8390530477779
232,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",4.6415888336127800,0.001,H,3.40935845866193E-15,0.187777086415149
233,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",4.6415888336127800,0.001,T,3.76516274314862E-13,20.7373703398967
234,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",6.812920690579610,0.001,H,2.89185928928606E-15,0.159274807342447
235,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",6.812920690579610,0.001,T,2.85617750339144E-13,15.7309563184456
236,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",10.0,0.001,H,2.35720681078381E-15,0.129827776214722
237,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",10.0,0.001,T,1.99715660124897E-13,10.9997306603102
238,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.001,0.001,H,3.03317403352576E-16,0.0167057993317924
239,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.001,0.001,T,8.65850318542275E-15,0.476884000491130
240,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0014677992676220700,0.001,H,3.0445466399256E-16,0.0167684361862212
241,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0014677992676220700,0.001,T,8.7326047660184E-15,0.480965289998150
242,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0021544346900318800,0.001,H,3.05934664088146E-16,0.0168499500866259
243,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0021544346900318800,0.001,T,8.83985972354358E-15,0.486872566593396
244,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0031622776601683800,0.001,H,3.07958710254975E-16,0.0169614283886541
245,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0031622776601683800,0.001,T,9.00066065354185E-15,0.495728992367931
246,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.004641588833612780,0.001,H,3.11128891720339E-16,0.0171360323342911
247,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.004641588833612780,0.001,T,9.21683894225376E-15,0.507635434501466
248,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.006812920690579610,0.001,H,3.14906835186512E-16,0.0173441099610120
249,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.006812920690579610,0.001,T,9.51155332991023E-15,0.523867405914785
250,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01,0.001,H,3.16554448586582E-16,0.0174348554920422
251,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.01,0.001,T,9.87698025489318E-15,0.543994008647510
