,Channel,B,T,Isotope,G,sigma
34,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579608,0.001,H,2.21213562006388e-15,0.121837696601076
35,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",0.6812920690579608,0.001,T,5.44437112437360e-13,51.9371698297698
36,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,H,2.48975524691463e-15,0.137128140622663
37,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.0,0.001,T,5.96149772602408e-13,56.8703552280196
38,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622069,0.001,H,2.71479660489069e-15,0.149522733633642
39,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",1.467799267622069,0.001,T,4.90042756959319e-13,46.7481611936826
40,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",2.154434690031882,0.001,H,2.80270544605005e-15,0.154364485025637
41,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",2.154434690031882,0.001,T,3.13985367622482e-13,29.9529752651603
42,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",3.1622776601683795,0.001,H,2.63972545066396e-15,0.145388042962234
43,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",3.1622776601683795,0.001,T,1.74531689634216e-13,16.6496401478360
44,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",4.6415888336127775,0.001,H,2.16512011512905e-15,0.119248225696200
45,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",4.6415888336127775,0.001,T,9.01144961160223e-14,8.59657025941719
46,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",6.812920690579608,0.001,H,1.50093562489692e-15,0.0826669656350710
47,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",6.812920690579608,0.001,T,4.43768203988171e-14,4.23337499392776
48,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",10.0,0.001,H,8.90971528440003e-16,0.0490719998257320
49,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'a'}",10.0,0.001,T,2.26346252417652e-14,2.15925466570762
50,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.001,0.001,H,2.52977061637182e-16,0.0139332065372613
51,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.001,0.001,T,8.04067706254261e-15,0.767049123954896
52,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0014677992676220691,0.001,H,2.53946072619686e-16,0.0139865767126785
53,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0014677992676220691,0.001,T,8.11013905762459e-15,0.773675526440826
54,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0021544346900318843,0.001,H,2.55214105594385e-16,0.0140564161092554
55,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0021544346900318843,0.001,T,8.21008589988765e-15,0.783210064043024
56,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0031622776601683794,0.001,H,2.56887724536280e-16,0.0141485939463731
57,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.0031622776601683794,0.001,T,8.35927213647099e-15,0.797441847161197
58,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.004641588833612777,0.001,H,2.59296062387399e-16,0.0142812378646556
59,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.004641588833612777,0.001,T,8.56130192549761e-15,0.816714698375129
60,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'a', 'betaprime': 'c'}",0.006812920690579608,0.001,H,2.62174828817481e-16,0.0144397915571654
